FDHI ID,Earthquake,Date,Magnitude,Cumulative displacement,Style,Hypocenter lat,Hypocenter lon,Feature,Breached or unbreached,Type (releasing or restraining),Type (single or double),Distance splay or double bend (m),Length (m) or angle (deg),Spacing double bend (m),Type (length or angle),Location along rupture,Total rupture length,Normalized location,Distance to epicenter,Distance to max slip,Slip at gate (m),Normalized slip at gate,x1check,y1check,UTM zone,latcheck,loncheck
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,1.36619883008707,0,angle,90819.9993799297,199115.277475184,0.45611768484841,72319.5845455619,46150.8826857546,6.221,0.3888125,699353.872048052,2930218.19671156,41N,26.478410418048,64.9999162322574
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,releasing,double,711.577735936286,10.8836845978858,134.357130312482,angle,165729.998519423,199115.277475184,0.832331906526247,8454.38610521423,28519.3977062806,3.06350785714286,0.191469241071429,742566.149738474,2989685.90433795,41N,27.0081241289272,65.4445857421535
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,restraining,double,225.87153520089,15.5920044890611,60.7109733308798,angle,166889.998513799,199115.277475184,0.838157677451942,9232.99211753183,29665.4465780975,3.87241875,0.242026171875,742751.404429472,2990851.36881672,41N,27.018604574307,65.4466791521273
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,releasing,double,415.016691578118,26.5537415010796,185.527831210657,angle,167799.998498183,199115.277475184,0.842727894242551,9598.69529614927,30584.88390685,2.89496742857143,0.180935464285714,743255.892293733,2991636.94756144,41N,27.0256022807707,65.4519140314934
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,5.08314018457892,0,angle,171539.998441069,199115.277475184,0.861510983065817,12223.6764944967,34316.524091459,3.7241158,0.2327572375,744602.28902818,2995118.83832669,41N,27.0567724930362,65.4661616997821
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,13.3966533225569,0,angle,23129.9998204238,199115.277475184,0.116163863033094,138448.689021457,112797.639844016,6.8473603,0.42796001875,640941.695081699,2896034.75238732,41N,26.1768528664839,64.410354104573
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,7.92913865390683,0,angle,8699.99996822151,199115.277475184,0.0436932819949278,152145.672026557,126680.556735342,4.780049,0.2987530625,627369.101612627,2891128.28536045,41N,26.1338267816346,64.2740849465228
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,2.21827888084523,0,angle,11599.999953879,199115.277475184,0.0582577093077385,149418.537740465,123912.45146473,5.62406633333333,0.351504145833333,630131.483357906,2892009.54885374,41N,26.1415353129575,64.3017999011213
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,3.12663417606002,0,angle,19229.9998612316,199115.277475184,0.0965772195135971,142088.724122026,116496.694325609,6.60097228571429,0.412560767857143,637202.730740803,2894873.35043367,41N,26.1667305597675,64.3728254868266
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,restraining,double,469.395875297437,6.81723135497789,55.7185067179572,angle,29709.9997518096,199115.277475184,0.149210046203071,132052.128951589,106338.293325567,7.11384357142857,0.444615223214286,646899.480139688,2898863.50836607,41N,26.2017905786607,64.4702767620672
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,26.9964612181221,0,angle,31069.9997401637,199115.277475184,0.15604026036644,130723.437827392,104999.119918628,5.46929071428571,0.341830669642857,648094.883758069,2899505.22016791,41N,26.2074602520614,64.4823114129181
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,restraining,double,417.346336489054,19.9953026904046,142.7087012701,angle,37939.999694366,199115.277475184,0.190542886389491,123931.973378197,98167.2628866229,6.436319125,0.4022699453125,653983.189498085,2903059.36491494,41N,26.2389215597803,64.5416548478352
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,0.765232364144371,0,angle,61649.9995491919,199115.277475184,0.309619635072329,100710.501266273,74761.9301590156,4.75258675,0.297036671875,674512.980669177,2914913.37482165,41N,26.3435555327959,64.7487280561717
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,restraining,double,855.094009490557,15.3923269328817,226.96504037165,angle,81509.9994423921,199115.277475184,0.409360851040427,81270.9547449637,55178.5938904731,7.36264425,0.460165265625,691258.97033272,2925566.38521862,41N,26.4375457559405,64.9180495309119
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,3.21388858405344,0,angle,83479.9994296977,199115.277475184,0.419254617165686,79347.0201915963,53240.5257738755,6.8115245,0.42572028125,692914.918435014,2926637.41111091,41N,26.4469870660066,64.9348102247925
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,32.4934555520452,0,angle,86839.9994076594,199115.277475184,0.436129263956064,76044.4060746799,49918.6278053369,7.51249415384615,0.469530884615385,695660.676445846,2928576.57385929,41N,26.4641105679633,64.9626322866021
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,4.91756851904213,0,angle,106009.999220633,199115.277475184,0.532405150246923,57297.401411474,31093.7676883123,7.900693125,0.4937933203125,711157.70974374,2939829.39315985,41N,26.5634249470322,65.1198618164833
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,restraining,double,414.550698085164,18.4864971967285,131.446215274419,angle,112739.999116734,199115.277475184,0.566204665690632,50576.4427869608,24372.8309466535,11.8635305,0.74147065625,715759.282101201,2944740.01427989,41N,26.6070369813335,65.1668661503002
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,,double,2577.69049224842,7.02878061547079,315.426573207972,angle,146499.998683074,199115.277475184,0.735754687137617,17305.0118905658,9327.44235617239,7.4107095,0.46316934375,735484.177948075,2971827.37531431,41N,26.8482442229213,65.3698925544658
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,8.23288045080984,0,angle,152679.998597561,199115.277475184,0.766791983686884,12058.8958764664,15480.1424040287,8.69233616666667,0.543271010416667,737786.356725553,2977543.96402493,41N,26.8994226163281,65.3941318071585
6,Borrego,'1968-04-09',6.63,NaN,Strike-Slip,33.189,-116.143,bend,breached,releasing,double,643.510114894416,25.9722593537183,281.816200794075,angle,23269.978763858,31546.4857015686,0.737640920893479,3330.9602485595,3611.06061582841,NaN,NaN,580176.209083692,3669248.4639933,11N,33.1590494484943,-116.140194900339
6,Borrego,'1968-04-09',6.63,NaN,Strike-Slip,33.189,-116.143,bend,breached,NaN,single,0,25.680649236825,0,angle,20369.9871302273,31546.4857015686,0.645713355298226,6090.52070078691,6538.83700156126,0.116249,0.303304415889375,581793.913500655,3666782.43676738,11N,33.1366871187645,-116.123069794256
